أَتَىٰٓ                 ['ʔ', 'a', 't', 'a:']
مَتَـٰعٌ                ['m', 'a', 't', 'a:', 'ʕ', 'u', 'ŋˤ']
قَلِيلٌ                ['q', 'a', 'l', 'i:', 'l', 'u']
وَلَهُمۡ                ['w̃', 'a', 'l', 'a', 'h', 'u', 'm']
عَذَابٌ                ['ʕ', 'a', 'ð', 'a:', 'b', 'u', 'n']
أَلِيمٌ                ['ʔ', 'a', 'l', 'i:', 'm']

16:118
وَعَلَى                ['w', 'a', 'ʕ', 'a', 'l', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
هَادُواۡ               ['h', 'a:', 'd', 'u:']
حَرَّمۡنَا               ['ħ', 'a', 'r', 'r', 'a', 'm', 'n', 'a:']
مَا                  ['m', 'a:']
قَصَصۡنَا               ['q', 'a', 'sˤ', 'a', 'sˤ', 'n', 'a:']
عَلَيۡكَ                ['ʕ', 'a', 'l', 'a', 'j', 'k', 'a']
مِن                  ['m', 'i', 'ŋˤ']
قَبۡلُ‌ۖ                ['q', 'a', 'b', 'Q', 'l', 'u']
وَمَا                 ['w', 'a', 'm', 'a:']
ظَلَمۡنَـٰهُمۡ             ['ðˤ', 'a', 'l', 'a', 'm', 'n', 'a:', 'h', 'u', 'm']
وَلَـٰكِن               ['w', 'a', 'l', 'a:', 'k', 'i', 'ŋ']
كَانُوٓاۡ               ['k', 'a:', 'n', 'u:']
أَنفُسَهُمۡ              ['ʔ', 'a', 'ŋ', 'f', 'u', 's', 'a', 'h', 'u', 'm']
يَظۡلِمُونَ              ['j', 'a', 'ðˤ', 'l', 'i', 'm', 'u:', 'n']

16:119
ثُمَّ                  ['θ', 'u', 'm̃', 'a']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
رَبَّكَ                 ['r', 'a', 'b', 'b', 'a', 'k', 'a']
لِلَّذِينَ               ['l', 'i', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
عَمِلُواۡ               ['ʕ', 'a', 'm', 'i', 'l', 'u:']
ٱلسُّوٓءَ               ['s', 's', 'u:', 'ʔ', 'a']
بِجَهَـٰلَةٍ              ['b', 'i', 'ʒ', 'a', 'h', 'a:', 'l', 'a', 't', 'i', 'ŋ']
ثُمَّ                  ['θ', 'u', 'm̃', 'a']
تَابُواۡ               ['t', 'a:', 'b', 'u:']
مِنۢ                  ['m', 'i', 'm̃']
بَعۡدِ                 ['b', 'a', 'ʕ', 'd', 'i']
ذٰلِكَ                 ['ð', 'a:', 'l', 'i', 'k', 'a']
وَأَصۡلَحُوٓاۡ             ['w', 'a', 'ʔ', 'a', 'sˤ', 'l', 'a', 'ħ', 'u:']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
رَبَّكَ                 ['r', 'a', 'b', 'b', 'a', 'k', 'a']
مِنۢ                  ['m', 'i', 'm̃']
بَعۡدِهَا               ['b', 'a', 'ʕ', 'd', 'i', 'h', 'a:']
لَغَفُورٌ               ['l', 'a', 'ɣ', 'a', 'f', 'u:', 'r', 'u']
رَّحِيمٌ                ['r', 'r', 'a', 'ħ', 'i:', 'm']

16:120
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
إِبۡرٰهِيمَ              ['ʔ', 'i', 'b', 'Q', 'r', 'a:', 'h', 'i:', 'm', 'a']
كَانَ                 ['k', 'a:', 'n', 'a']
أُمَّةً                 ['ʔ', 'u', 'm̃', 'a', 't', 'a', 'ŋˤ']
قَانِتًا               ['q', 'a:', 'n', 'i', 't', 'a']
لِّلَّهِ                 ['l', 'i', 'l', 'l', 'a', 'h', 'i']
حَنِيفًا               ['ħ', 'a', 'n', 'i:', 'f', 'a']
وَلَمۡ                 ['w̃', 'a', 'l', 'a', 'm']
يَكُ                  ['j', 'a', 'k', 'u']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلۡمُشۡرِكِينَ            ['l', 'm', 'u', 'ʃ', 'r', 'i', 'k', 'i:', 'n']

16:121
شَاكِرًا               ['ʃ', 'a:', 'k', 'i', 'r', 'a']
لِّأَنۡعُمِهِ‌ۚ             ['l', 'i', 'ʔ', 'a', 'n', 'ʕ', 'u', 'm', 'i', 'h', 'i']
ٱجۡتَبَـٰهُ              ['ʒ', 'Q', 't', 'a', 'b', 'a:', 'h', 'u']
وَهَدَٮٰهُ               ['w', 'a', 'h', 'a', 'd', 'a:', 'h', 'u']
إِلَىٰ                 ['ʔ', 'i', 'l', 'a:']
صِرٰطٍ                 ['sˤ', 'i', 'r', 'a:', 'tˤ', 'i']
مُّسۡتَقِيمٍ              ['m̃', 'u', 's', 't', 'a', 'q', 'i:', 'm']

16:122
وَءَاتَيۡنَـٰهُ            ['w', 'a', 'ʔ', 'a:', 't', 'a', 'j', 'n', 'a:', 'h', 'u']
فِى                  ['f', 'i']
ٱلدُّنۡيَا              ['d', 'd', 'u', 'n', 'j', 'a:']
حَسَنَةً‌ۖ               ['ħ', 'a', 's', 'a', 'n', 'a', 't', 'a']
وَإِنَّهُۥ               ['w̃', 'a', 'ʔ', 'i', 'ñ', 'a', 'h', 'u:']
فِى                  ['f', 'i']
ٱلۡأَخِرَةِ              ['l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
لَمِنَ                 ['l', 'a', 'm', 'i', 'n', 'a']
ٱلصَّـٰلِحِينَ            ['sˤ', 'sˤ', 'a:', 'l', 'i', 'ħ', 'i:', 'n']

16:123
ثُمَّ                  ['θ', 'u', 'm̃', 'a']
أَوۡحَيۡنَآ              ['ʔ', 'a', 'w', 'ħ', 'a', 'j', 'n', 'a:']
إِلَيۡكَ                ['ʔ', 'i', 'l', 'a', 'j', 'k', 'a']
أَنِ                  ['ʔ', 'a', 'n', 'i']
ٱتَّبِعۡ                ['t', 't', 'a', 'b', 'i', 'ʕ']
مِلَّةَ                 ['m', 'i', 'l', 'l', 'a', 't', 'a']
إِبۡرٰهِيمَ              ['ʔ', 'i', 'b', 'Q', 'r', 'a:', 'h', 'i:', 'm', 'a']
حَنِيفًا‌ۖ              ['ħ', 'a', 'n', 'i:', 'f', 'a']
وَمَا                 ['w̃', 'a', 'm', 'a:']
كَانَ                 ['k', 'a:', 'n', 'a']
مِنَ                  ['m', 'i', 'n', 'a']
ٱلۡمُشۡرِكِينَ            ['l', 'm', 'u', 'ʃ', 'r', 'i', 'k', 'i:', 'n']

16:124
إِنَّمَا                ['ʔ', 'i', 'ñ', 'a', 'm', 'a:']
جُعِلَ                 ['ʒ', 'u', 'ʕ', 'i', 'l', 'a']
ٱلسَّبۡتُ               ['s', 's', 'a', 'b', 'Q', 't', 'u']
عَلَى                 ['ʕ', 'a', 'l', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ٱخۡتَلَفُواۡ             ['x', 't', 'a', 'l', 'a', 'f', 'u:']
فِيهِ‌ۚ                ['f', 'i:', 'h', 'i']
وَإِنَّ                 ['w', 'a', 'ʔ', 'i', 'ñ', 'a']
رَبَّكَ                 ['r', 'a', 'b', 'b', 'a', 'k', 'a']
لَيَحۡكُمُ               ['l', 'a', 'j', 'a', 'ħ', 'k', 'u', 'm', 'u']
بَيۡنَهُمۡ               ['b', 'a', 'j', 'n', 'a', 'h', 'u', 'm']
يَوۡمَ                 ['j', 'a', 'w', 'm', 'a']
ٱلۡقِيَـٰمَةِ             ['l', 'q', 'i', 'j', 'a:', 'm', 'a', 't', 'i']
فِيمَا                ['f', 'i:', 'm', 'a:']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
فِيهِ                 ['f', 'i:', 'h', 'i']
يَخۡتَلِفُونَ             ['j', 'a', 'x', 't', 'a', 'l', 'i', 'f', 'u:', 'n']

16:125
ٱدۡعُ                 ['ʔ', 'u', 'd', 'Q', 'ʕ', 'u']
إِلَىٰ                 ['ʔ', 'i', 'l', 'a:']
سَبِيلِ                ['s', 'a', 'b', 'i:', 'l', 'i']
رَبِّكَ                 ['r', 'a', 'b', 'b', 'i', 'k', 'a']
بِٱلۡحِكۡمَةِ             ['b', 'i', 'l', 'ħ', 'i', 'k', 'm', 'a', 't', 'i']
وَٱلۡمَوۡعِظَةِ            ['w', 'a', 'l', 'm', 'a', 'w', 'ʕ', 'i', 'ðˤ', 'a', 't', 'i']
ٱلۡحَسَنَةِ‌ۖ             ['l', 'ħ', 'a', 's', 'a', 'n', 'a', 't', 'i']
وَجَـٰدِلۡهُم             ['w', 'a', 'ʒ', 'a:', 'd', 'i', 'l', 'h', 'u', 'ɱ']
بِٱلَّتِى               ['b', 'i', 'l', 'l', 'a', 't', 'i:']
هِىَ                  ['h', 'i', 'j', 'a']
أَحۡسَنُ‌ۚ               ['ʔ', 'a', 'ħ', 's', 'a', 'n', 'u']
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
رَبَّكَ                 ['r', 'a', 'b', 'b', 'a', 'k', 'a']
هُوَ                  ['h', 'u', 'w', 'a']
أَعۡلَمُ                ['ʔ', 'a', 'ʕ', 'l', 'a', 'm', 'u']
بِمَن                 ['b', 'i', 'm', 'a', 'ŋˤ']
ضَلَّ                  ['dˤ', 'a', 'l', 'l', 'a']
عَن                  ['ʕ', 'a', 'ŋ']
سَبِيلِهِۦ‌ۖ             ['s', 'a', 'b', 'i:', 'l', 'i', 'h', 'i:']
وَهُوَ                 ['w', 'a', 'h', 'u', 'w', 'a']
أَعۡلَمُ                ['ʔ', 'a', 'ʕ', 'l', 'a', 'm', 'u']
بِٱلۡمُهۡتَدِينَ           ['b', 'i', 'l', 'm', 'u', 'h', 't', 'a', 'd', 'i:', 'n']

16:126
وَإِنۡ                 ['w', 'a', 'ʔ', 'i', 'n']
عَاقَبۡتُمۡ              ['ʕ', 'a:', 'q', 'a', 'b', 'Q', 't', 'u', 'm']
فَعَاقِبُواۡ             ['f', 'a', 'ʕ', 'a:', 'q', 'i', 'b', 'u:']
بِمِثۡلِ                ['b', 'i', 'm', 'i', 'θ', 'l', 'i']
مَا                  ['m', 'a:']
عُوقِبۡتُم              ['ʕ', 'u:', 'q', 'i', 'b', 'Q', 't', 'u', 'ɱ']
بِهِۦ‌ۖ                ['b', 'i', 'h', 'i:']
وَلَئِن                ['w', 'a', 'l', 'a', 'ʔ', 'i', 'ŋˤ']
صَبَرۡتُمۡ               ['sˤ', 'a', 'b', 'a', 'r', 't', 'u', 'm']
لَهُوَ                 ['l', 'a', 'h', 'u', 'w', 'a']
خَيۡرٌ                 ['x', 'a', 'j', 'r', 'u']
لِّلصَّـٰبِرِينَ            ['l', 'l', 'i', 'l', 'sˤ', 'sˤ', 'a:', 'b', 'i', 'r', 'i:', 'n']

16:127
وَٱصۡبِرۡ               ['w', 'a', 'sˤ', 'b', 'i', 'r']
وَمَا                 ['w', 'a', 'm', 'a:']
صَبۡرُكَ                ['sˤ', 'a', 'b', 'Q', 'r', 'u', 'k', 'a']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
بِٱللَّهِ‌ۚ              ['b', 'i', 'l', 'l', 'l', 'a', 'h', 'i']
وَلَا                 ['w', 'a', 'l', 'a:']
تَحۡزَنۡ                ['t', 'a', 'ħ', 'z', 'a', 'n']
عَلَيۡهِمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm']
وَلَا                 ['w', 'a', 'l', 'a:']
تَكُ                  ['t', 'a', 'k', 'u']
فِى                  ['f', 'i:']
ضَيۡقٍ                 ['dˤ', 'a', 'j', 'q', 'i']
مِّمَّا                 ['m̃', 'i', 'm̃', 'a:']
يَمۡكُرُونَ              ['j', 'a', 'm', 'k', 'u', 'r', 'u:', 'n']

16:128
إِنَّ                  ['ʔ', 'i', 'ñ', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
مَعَ                  ['m', 'a', 'ʕ', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ٱتَّقَواۡ               ['t', 't', 'a', 'q', 'a:']
وَّٱلَّذِينَ              ['w', 'w', 'a', 'l', 'l', 'a', 'ð', 'i:', 'n', 'a']
هُم                  ['h', 'u', 'm̃']
مُّحۡسِنُونَ              ['u', 'ħ', 's', 'i', 'n', 'u:', 'n']
