الٓمٓ                 ['l', 'm']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
مُصَدِّقٌ                ['m', 'u', 'sˤ', 'a', 'd', 'd', 'i', 'q', 'u']
لِّمَا                 ['l', 'l', 'i', 'm', 'a:']
مَعَهُمۡ                ['m', 'a', 'ʕ', 'a', 'h', 'u', 'm']
نَبَذَ                 ['n', 'a', 'b', 'a', 'ð', 'a']
فَرِيقٌ                ['f', 'a', 'r', 'i:', 'q', 'u']
مِّنَ                  ['m̰', 'i', 'n', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
أُوتُواۡ               ['ʔ', 'u:', 't', 'u:']
ٱلۡكِتَـٰبَ              ['l', 'k', 'i', 't', 'a:', 'b', 'a']
كِتَـٰبَ                ['k', 'i', 't', 'a:', 'b', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
وَرَآءَ                ['w', 'a', 'r', 'a:', 'ʔ', 'a']
ظُهُورِهِمۡ              ['ðˤ', 'u', 'h', 'u:', 'r', 'i', 'h', 'i', 'm']
كَأَنَّهُمۡ               ['k', 'a', 'ʔ', 'a', 'n̰', 'a', 'h', 'u', 'm']
لَا                  ['l', 'a:']
يَعۡلَمُونَ              ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

102
وَٱتَّبَعُواۡ             ['w', 'a', 't', 't', 'a', 'b', 'a', 'ʕ', 'u:']
مَا                  ['m', 'a:']
تَتۡلُواۡ               ['t', 'a', 't', 'l', 'u:']
ٱلشَّيَـٰطِينُ            ['ʃ', 'ʃ', 'a', 'j', 'a:', 'tˤ', 'i:', 'n', 'u']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
مُلۡكِ                 ['m', 'u', 'l', 'k', 'i']
سُلَيۡمَـٰنَ‌ۖ             ['s', 'u', 'l', 'a', 'j', 'm', 'a:', 'n', 'a']
وَمَا                 ['w', 'a', 'm', 'a:']
كَفَرَ                 ['k', 'a', 'f', 'a', 'r', 'a']
سُلَيۡمَـٰنُ              ['s', 'u', 'l', 'a', 'j', 'm', 'a:', 'n', 'u']
وَلَـٰكِنَّ               ['w', 'a', 'l', 'a:', 'k', 'i', 'n̰', 'a']
ٱلشَّيَـٰطِينَ            ['ʃ', 'ʃ', 'a', 'j', 'a:', 'tˤ', 'i:', 'n', 'a']
كَفَرُواۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
يُعَلِّمُونَ              ['j', 'u', 'ʕ', 'a', 'l', 'l', 'i', 'm', 'u:', 'n', 'a']
ٱلنَّاسَ               ['n̰', 'a:', 's', 'a']
ٱلسِّحۡرَ               ['s', 's', 'i', 'ħ', 'r', 'a']
وَمَآ                 ['w', 'a', 'm', 'a:']
أُنزِلَ                ['ʔ', 'u', 'Ikh1', 'z', 'i', 'l', 'a']
عَلَى                 ['ʕ', 'a', 'l', 'a:']
ٱلۡمَلَكَيۡنِ             ['l', 'm', 'a', 'l', 'a', 'k', 'a', 'j', 'n', 'i']
بِبَابِلَ               ['b', 'i', 'b', 'a:', 'b', 'i', 'l', 'a']
هَـٰرُوتَ               ['h', 'a:', 'r', 'u:', 't', 'a']
وَمَـٰرُوتَ‌ۚ             ['w', 'a', 'm', 'a:', 'r', 'u:', 't', 'a']
وَمَا                 ['w', 'a', 'm', 'a:']
يُعَلِّمَانِ              ['j', 'u', 'ʕ', 'a', 'l', 'l', 'i', 'm', 'a:', 'n', 'i']
مِنۡ                  ['m', 'i', 'n']
أَحَدٍ                 ['ʔ', 'a', 'ħ', 'a', 'd', 'in']
حَتَّىٰ                 ['ħ', 'a', 't', 't', 'a:']
يَقُولَآ               ['j', 'a', 'q', 'u:', 'l', 'a:']
إِنَّمَا                ['ʔ', 'i', 'n̰', 'a', 'm', 'a:']
نَحۡنُ                 ['n', 'a', 'ħ', 'n', 'u']
فِتۡنَةٌ                ['f', 'i', 't', 'n', 'a', 't', 'u', 'Ikh1']
فَلَا                 ['f', 'a', 'l', 'a:']
تَكۡفُرۡ‌ۖ               ['t', 'a', 'k', 'f', 'u', 'r']
فَيَتَعَلَّمُونَ            ['f', 'a', 'j', 'a', 't', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'm', 'u:', 'n', 'a']
مِنۡهُمَا               ['m', 'i', 'n', 'h', 'u', 'm', 'a:']
مَا                  ['m', 'a:']
يُفَرِّقُونَ              ['j', 'u', 'f', 'a', 'r', 'r', 'i', 'q', 'u:', 'n', 'a']
بِهِۦ                 ['b', 'i', 'h', 'i:']
بَيۡنَ                 ['b', 'a', 'j', 'n', 'a']
ٱلۡمَرۡءِ               ['l', 'm', 'a', 'r', 'ʔ', 'i']
وَزَوۡجِهِۦ‌ۚ             ['w', 'a', 'z', 'a', 'w', 'ʒ', 'i', 'h', 'i:']
وَمَا                 ['w', 'a', 'm', 'a:']
هُم                  ['h', 'u', 'Ikh']
بِضَآرِّينَ              ['b', 'i', 'dˤ', 'a:', 'r', 'r', 'i:', 'n', 'a']
بِهِۦ                 ['b', 'i', 'h', 'i:']
مِنۡ                  ['m', 'i', 'n']
أَحَدٍ                 ['ʔ', 'a', 'ħ', 'a', 'd', 'in']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
بِإِذۡنِ                ['b', 'i', 'ʔ', 'i', 'ð', 'n', 'i']
ٱللَّهِ‌ۚ               ['l', 'l', 'l', 'a', 'h', 'i']
وَيَتَعَلَّمُونَ            ['w', 'a', 'j', 'a', 't', 'a', 'ʕ', 'a', 'l', 'l', 'a', 'm', 'u:', 'n', 'a']
مَا                  ['m', 'a:']
يَضُرُّهُمۡ               ['j', 'a', 'dˤ', 'u', 'r', 'r', 'u', 'h', 'u', 'm']
وَلَا                 ['w', 'a', 'l', 'a:']
يَنفَعُهُمۡ‌ۚ             ['j', 'a', 'Ikh1', 'f', 'a', 'ʕ', 'u', 'h', 'u', 'm']
وَلَقَدۡ                ['w', 'a', 'l', 'a', 'q', 'a', 'd', 'QQ']
عَلِمُواۡ               ['ʕ', 'a', 'l', 'i', 'm', 'u:']
لَمَنِ                 ['l', 'a', 'm', 'a', 'n', 'i']
ٱشۡتَرَٮٰهُ              ['ʃ', 't', 'a', 'r', 'a:', 'h', 'u']
مَا                  ['m', 'a:']
لَهُۥ                 ['l', 'a', 'h', 'u:']
فِى                  ['f', 'i:']
ٱلۡأَخِرَةِ              ['l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
مِنۡ                  ['m', 'i', 'n']
خَلَـٰقٍ‌ۚ               ['x', 'a', 'l', 'a:', 'q', 'i']
وَلَبِئۡسَ               ['w̰', 'a', 'l', 'a', 'b', 'i', 'ʔ', 's', 'a']
مَا                  ['m', 'a:']
شَرَوۡاۡ                ['ʃ', 'a', 'r', 'a', 'w']
بِهِۦٓ                 ['b', 'i', 'h', 'i:']
أَنفُسَهُمۡ‌ۚ             ['ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'a', 'h', 'u', 'm']
لَوۡ                  ['l', 'a', 'w']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
يَعۡلَمُونَ              ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

103
وَلَوۡ                 ['w', 'a', 'l', 'a', 'w']
أَنَّهُمۡ                ['ʔ', 'a', 'n̰', 'a', 'h', 'u', 'm']
ءَامَنُواۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
وَٱتَّقَوۡاۡ              ['w', 'a', 't', 't', 'a', 'q', 'a', 'w']
لَمَثُوبَةٌ              ['l', 'a', 'm', 'a', 'θ', 'u:', 'b', 'a', 't', 'u']
مِّنۡ                  ['m̰', 'i', 'n']
عِندِ                 ['ʕ', 'i', 'Ikh1', 'd', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
خَيۡرٌ‌ۖ                ['x', 'a', 'j', 'r', 'u']
لَّوۡ                  ['l', 'l', 'a', 'w']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
يَعۡلَمُونَ              ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n']

104
يَـٰٓأَيُّهَا              ['j', 'a:', 'ʔ', 'a', 'j', 'j', 'u', 'h', 'a:']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
ءَامَنُواۡ              ['ʔ', 'a:', 'm', 'a', 'n', 'u:']
لَا                  ['l', 'a:']
تَقُولُواۡ              ['t', 'a', 'q', 'u:', 'l', 'u:']
رٰعِنَا                ['r', 'a:', 'ʕ', 'i', 'n', 'a:']
وَقُولُواۡ              ['w', 'a', 'q', 'u:', 'l', 'u:']
ٱنظُرۡنَا              ['Ikh2', 'ðˤ', 'u', 'r', 'n', 'a:']
وَٱسۡمَعُواۡ‌ۗ            ['w', 'a', 's', 'm', 'a', 'ʕ', 'u:']
وَلِلۡكَـٰفِرِينَ           ['w', 'a', 'l', 'i', 'l', 'k', 'a:', 'f', 'i', 'r', 'i:', 'n', 'a']
عَذَابٌ                ['ʕ', 'a', 'ð', 'a:', 'b', 'un']
أَلِيمٌ                ['ʔ', 'a', 'l', 'i:', 'm']

105
مَّا                  ['m', 'a:']
يَوَدُّ                 ['j', 'a', 'w', 'a', 'd', 'd', 'u']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
كَفَرُواۡ               ['k', 'a', 'f', 'a', 'r', 'u:']
مِنۡ                  ['m', 'i', 'n']
أَهۡلِ                 ['ʔ', 'a', 'h', 'l', 'i']
ٱلۡكِتَـٰبِ              ['l', 'k', 'i', 't', 'a:', 'b', 'i']
وَلَا                 ['w', 'a', 'l', 'a:']
ٱلۡمُشۡرِكِينَ            ['l', 'm', 'u', 'ʃ', 'r', 'i', 'k', 'i:', 'n', 'a']
أَن                  ['ʔ', 'a']
يُنَزَّلَ                ['j̰', 'u', 'n', 'a', 'z', 'z', 'a', 'l', 'a']
عَلَيۡكُم               ['ʕ', 'a', 'l', 'a', 'j', 'k', 'u', 'm̰']
مِّنۡ                  ['i', 'n']
خَيۡرٍ                 ['x', 'a', 'j', 'r', 'i']
مِّن                  ['m̰', 'i']
رَّبِّكُمۡ‌ۗ               ['r', 'r', 'a', 'b', 'b', 'i', 'k', 'u', 'm']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
يَخۡتَصُّ                ['j', 'a', 'x', 't', 'a', 'sˤ', 'sˤ', 'u']
بِرَحۡمَتِهِۦ             ['b', 'i', 'r', 'a', 'ħ', 'm', 'a', 't', 'i', 'h', 'i:']
مَن                  ['m', 'a']
يَشَآءُ‌ۚ               ['j̰', 'a', 'ʃ', 'a:', 'ʔ', 'u']
وَٱللَّهُ               ['w', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
ذُو                  ['ð', 'u:']
ٱلۡفَضۡلِ               ['l', 'f', 'a', 'dˤ', 'l', 'i']
ٱلۡعَظِيمِ              ['l', 'ʕ', 'a', 'ðˤ', 'i:', 'm']

106
۞مَا                 ['m', 'a:']
نَنسَخۡ                ['n', 'a', 'Ikh1', 's', 'a', 'x']
مِنۡ                  ['m', 'i', 'n']
ءَايَةٍ                ['ʔ', 'a:', 'j', 'a', 't', 'in']
أَوۡ                  ['ʔ', 'a', 'w']
نُنسِهَا               ['n', 'u', 'Ikh1', 's', 'i', 'h', 'a:']
نَأۡتِ                 ['n', 'a', 'ʔ', 't', 'i']
بِخَيۡرٍ                ['b', 'i', 'x', 'a', 'j', 'r', 'i']
مِّنۡهَآ                ['m̰', 'i', 'n', 'h', 'a:']
أَوۡ                  ['ʔ', 'a', 'w']
مِثۡلِهَآ‌ۗ              ['m', 'i', 'θ', 'l', 'i', 'h', 'a:']
أَلَمۡ                 ['ʔ', 'a', 'l', 'a', 'm']
تَعۡلَمۡ                ['t', 'a', 'ʕ', 'l', 'a', 'm']
أَنَّ                  ['ʔ', 'a', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
كُلِّ                  ['k', 'u', 'l', 'l', 'i']
شَىۡءٍ                 ['ʃ', 'a', 'j', 'ʔ', 'i', 'Ikh2']
قَدِيرٌ                ['q', 'a', 'd', 'i:', 'r']

107
أَلَمۡ                 ['ʔ', 'a', 'l', 'a', 'm']
تَعۡلَمۡ                ['t', 'a', 'ʕ', 'l', 'a', 'm']
أَنَّ                  ['ʔ', 'a', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
لَهُۥ                 ['l', 'a', 'h', 'u:']
مُلۡكُ                 ['m', 'u', 'l', 'k', 'u']
ٱلسَّمَـٰوٰتِ             ['s', 's', 'a', 'm', 'a:', 'w', 'a:', 't', 'i']
وَٱلۡأَرۡضِ‌ۗ             ['w', 'a', 'l', 'ʔ', 'a', 'r', 'dˤ', 'i']
وَمَا                 ['w', 'a', 'm', 'a:']
لَكُم                 ['l', 'a', 'k', 'u', 'm̰']
مِّن                  ['i', 'Ikh1']
دُونِ                 ['d', 'u:', 'n', 'i']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
مِن                  ['m', 'i']
وَلِىٍّ                 ['w̰', 'a', 'l', 'i', 'j', 'j', 'i']
وَلَا                 ['w̰', 'a', 'l', 'a:']
نَصِيرٍ                ['n', 'a', 'sˤ', 'i:', 'r']

108
أَمۡ                  ['ʔ', 'a', 'm']
تُرِيدُونَ              ['t', 'u', 'r', 'i:', 'd', 'u:', 'n', 'a']
أَن                  ['ʔ', 'a', 'Ikh1']
تَسۡــَٔلُواۡ             ['t', 'a', 's', 'ʔ', 'a', 'l', 'u:']
رَسُولَكُمۡ              ['r', 'a', 's', 'u:', 'l', 'a', 'k', 'u', 'm']
كَمَا                 ['k', 'a', 'm', 'a:']
سُئِلَ                 ['s', 'u', 'ʔ', 'i', 'l', 'a']
مُوسَىٰ                ['m', 'u:', 's', 'a:']
مِن                  ['m', 'i', 'Ikh2']
قَبۡلُ‌ۗ                ['q', 'a', 'b', 'Q', 'l', 'u']
وَمَن                 ['w', 'a', 'm', 'a']
يَتَبَدَّلِ               ['j̰', 'a', 't', 'a', 'b', 'a', 'd', 'd', 'a', 'l', 'i']
ٱلۡكُفۡرَ               ['l', 'k', 'u', 'f', 'r', 'a']
بِٱلۡإِيمَـٰنِ            ['b', 'i', 'l', 'ʔ', 'i:', 'm', 'a:', 'n', 'i']
فَقَدۡ                 ['f', 'a', 'q', 'a', 'd', 'QQ']
ضَلَّ                  ['dˤ', 'a', 'l', 'l', 'a']
سَوَآءَ                ['s', 'a', 'w', 'a:', 'ʔ', 'a']
ٱلسَّبِيلِ              ['s', 's', 'a', 'b', 'i:', 'l']

109
وَدَّ                  ['w', 'a', 'd', 'd', 'a']
كَثِيرٌ                ['k', 'a', 'θ', 'i:', 'r', 'u']
مِّنۡ                  ['m̰', 'i', 'n']
أَهۡلِ                 ['ʔ', 'a', 'h', 'l', 'i']
ٱلۡكِتَـٰبِ              ['l', 'k', 'i', 't', 'a:', 'b', 'i']
لَوۡ                  ['l', 'a', 'w']
يَرُدُّونَكُم             ['j', 'a', 'r', 'u', 'd', 'd', 'u:', 'n', 'a', 'k', 'u', 'm̰']
مِّنۢ                  ['i', 'm̰']
بَعۡدِ                 ['b', 'a', 'ʕ', 'd', 'i']
إِيمَـٰنِكُمۡ             ['ʔ', 'i:', 'm', 'a:', 'n', 'i', 'k', 'u', 'm']
كُفَّارًا               ['k', 'u', 'f', 'f', 'a:', 'r', 'an']
حَسَدًا                ['ħ', 'a', 's', 'a', 'd', 'a']
مِّنۡ                  ['m̰', 'i', 'n']
عِندِ                 ['ʕ', 'i', 'Ikh1', 'd', 'i']
أَنفُسِهِم              ['ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'i', 'h', 'i', 'm̰']
مِّنۢ                  ['i', 'm̰']
بَعۡدِ                 ['b', 'a', 'ʕ', 'd', 'i']
مَا                  ['m', 'a:']
تَبَيَّنَ                ['t', 'a', 'b', 'a', 'j', 'j', 'a', 'n', 'a']
لَهُمُ                 ['l', 'a', 'h', 'u', 'm', 'u']
ٱلۡحَقُّ‌ۖ               ['l', 'ħ', 'a', 'q', 'q', 'u']
فَٱعۡفُواۡ              ['f', 'a', 'ʕ', 'f', 'u:']
وَٱصۡفَحُواۡ             ['w', 'a', 'sˤ', 'f', 'a', 'ħ', 'u:']
حَتَّىٰ                 ['ħ', 'a', 't', 't', 'a:']
يَأۡتِىَ                ['j', 'a', 'ʔ', 't', 'i', 'j', 'a']
ٱللَّهُ                ['l', 'l', 'l', 'a', 'h', 'u']
بِأَمۡرِهِۦٓ‌ۗ             ['b', 'i', 'ʔ', 'a', 'm', 'r', 'i', 'h', 'i:']
إِنَّ                  ['ʔ', 'i', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
كُلِّ                  ['k', 'u', 'l', 'l', 'i']
شَىۡءٍ                 ['ʃ', 'a', 'j', 'ʔ', 'i', 'Ikh2']
قَدِيرٌ                ['q', 'a', 'd', 'i:', 'r']

110
وَأَقِيمُواۡ             ['w', 'a', 'ʔ', 'a', 'q', 'i:', 'm', 'u:']
ٱلصَّلَوٰةَ              ['sˤ', 'sˤ', 'a', 'l', 'a', 't', 'a']
وَءَاتُواۡ              ['w', 'a', 'ʔ', 'a:', 't', 'u:']
ٱلزَّكَوٰةَ‌ۚ             ['z', 'z', 'a', 'k', 'a', 't', 'a']
وَمَا                 ['w', 'a', 'm', 'a:']
تُقَدِّمُواۡ              ['t', 'u', 'q', 'a', 'd', 'd', 'i', 'm', 'u:']
لِأَنفُسِكُم             ['l', 'i', 'ʔ', 'a', 'Ikh1', 'f', 'u', 's', 'i', 'k', 'u', 'm̰']
مِّنۡ                  ['i', 'n']
خَيۡرٍ                 ['x', 'a', 'j', 'r', 'i', 'Ikh1']
تَجِدُوهُ               ['t', 'a', 'ʒ', 'i', 'd', 'u:', 'h', 'u']
عِندَ                 ['ʕ', 'i', 'Ikh1', 'd', 'a']
ٱللَّهِ‌ۗ               ['l', 'l', 'l', 'a', 'h', 'i']
إِنَّ                  ['ʔ', 'i', 'n̰', 'a']
ٱللَّهَ                ['l', 'l', 'l', 'a', 'h', 'a']
بِمَا                 ['b', 'i', 'm', 'a:']
تَعۡمَلُونَ              ['t', 'a', 'ʕ', 'm', 'a', 'l', 'u:', 'n', 'a']
بَصِيرٌ                ['b', 'a', 'sˤ', 'i:', 'r']

111
وَقَالُواۡ              ['w', 'a', 'q', 'a:', 'l', 'u:']
لَن                  ['l', 'a']
يَدۡخُلَ                ['j̰', 'a', 'd', 'Q', 'x', 'u', 'l', 'a']
ٱلۡجَنَّةَ               ['l', 'ʒ', 'a', 'n̰', 'a', 't', 'a']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
مَن                  ['m', 'a', 'Ikh1']
كَانَ                 ['k', 'a:', 'n', 'a']
هُودًا                ['h', 'u:', 'd', 'an']
أَوۡ                  ['ʔ', 'a', 'w']
نَصَـٰرَىٰ‌ۗ              ['n', 'a', 'sˤ', 'a:', 'r', 'a:']
تِلۡكَ                 ['t', 'i', 'l', 'k', 'a']
أَمَانِيُّهُمۡ‌ۗ            ['ʔ', 'a', 'm', 'a:', 'n', 'i', 'j', 'j', 'u', 'h', 'u', 'm']
قُلۡ                  ['q', 'u', 'l']
هَاتُواۡ               ['h', 'a:', 't', 'u:']
بُرۡهَـٰنَكُمۡ             ['b', 'u', 'r', 'h', 'a:', 'n', 'a', 'k', 'u', 'm']
إِن                  ['ʔ', 'i', 'Ikh1']
كُنتُمۡ                ['k', 'u', 'Ikh1', 't', 'u', 'm']
صَـٰدِقِينَ              ['sˤ', 'a:', 'd', 'i', 'q', 'i:', 'n']

112
بَلَىٰ                 ['b', 'a', 'l', 'a:']
مَنۡ                  ['m', 'a', 'n']
أَسۡلَمَ                ['ʔ', 'a', 's', 'l', 'a', 'm', 'a']
وَجۡهَهُۥ               ['w', 'a', 'ʒ', 'Q', 'h', 'a', 'h', 'u:']
لِلَّهِ                 ['l', 'i', 'l', 'l', 'a', 'h', 'i']
وَهُوَ                 ['w', 'a', 'h', 'u', 'w', 'a']
مُحۡسِنٌ                ['m', 'u', 'ħ', 's', 'i', 'n', 'u', 'Ikh1']
فَلَهُۥٓ                ['f', 'a', 'l', 'a', 'h', 'u:']
أَجۡرُهُۥ               ['ʔ', 'a', 'ʒ', 'Q', 'r', 'u', 'h', 'u:']
عِندَ                 ['ʕ', 'i', 'Ikh1', 'd', 'a']
رَبِّهِۦ                ['r', 'a', 'b', 'b', 'i', 'h', 'i:']
وَلَا                 ['w', 'a', 'l', 'a:']
خَوۡفٌ                 ['x', 'a', 'w', 'f', 'un']
عَلَيۡهِمۡ               ['ʕ', 'a', 'l', 'a', 'j', 'h', 'i', 'm']
وَلَا                 ['w', 'a', 'l', 'a:']
هُمۡ                  ['h', 'u', 'm']
يَحۡزَنُونَ              ['j', 'a', 'ħ', 'z', 'a', 'n', 'u:', 'n']

113
وَقَالَتِ               ['w', 'a', 'q', 'a:', 'l', 'a', 't', 'i']
ٱلۡيَهُودُ              ['l', 'j', 'a', 'h', 'u:', 'd', 'u']
لَيۡسَتِ                ['l', 'a', 'j', 's', 'a', 't', 'i']
ٱلنَّصَـٰرَىٰ             ['n̰', 'a', 'sˤ', 'a:', 'r', 'a:']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
شَىۡءٍ                 ['ʃ', 'a', 'j', 'ʔ', 'i']
وَقَالَتِ               ['w̰', 'a', 'q', 'a:', 'l', 'a', 't', 'i']
ٱلنَّصَـٰرَىٰ             ['n̰', 'a', 'sˤ', 'a:', 'r', 'a:']
لَيۡسَتِ                ['l', 'a', 'j', 's', 'a', 't', 'i']
ٱلۡيَهُودُ              ['l', 'j', 'a', 'h', 'u:', 'd', 'u']
عَلَىٰ                 ['ʕ', 'a', 'l', 'a:']
شَىۡءٍ                 ['ʃ', 'a', 'j', 'ʔ', 'i']
وَهُمۡ                 ['w̰', 'a', 'h', 'u', 'm']
يَتۡلُونَ               ['j', 'a', 't', 'l', 'u:', 'n', 'a']
ٱلۡكِتَـٰبَ‌ۗ             ['l', 'k', 'i', 't', 'a:', 'b', 'a']
كَذٰلِكَ                ['k', 'a', 'ð', 'a:', 'l', 'i', 'k', 'a']
قَالَ                 ['q', 'a:', 'l', 'a']
ٱلَّذِينَ               ['l', 'l', 'a', 'ð', 'i:', 'n', 'a']
لَا                  ['l', 'a:']
يَعۡلَمُونَ              ['j', 'a', 'ʕ', 'l', 'a', 'm', 'u:', 'n', 'a']
مِثۡلَ                 ['m', 'i', 'θ', 'l', 'a']
قَوۡلِهِمۡ‌ۚ              ['q', 'a', 'w', 'l', 'i', 'h', 'i', 'm']
فَٱللَّهُ               ['f', 'a', 'l', 'l', 'l', 'a', 'h', 'u']
يَحۡكُمُ                ['j', 'a', 'ħ', 'k', 'u', 'm', 'u']
بَيۡنَهُمۡ               ['b', 'a', 'j', 'n', 'a', 'h', 'u', 'm']
يَوۡمَ                 ['j', 'a', 'w', 'm', 'a']
ٱلۡقِيَـٰمَةِ             ['l', 'q', 'i', 'j', 'a:', 'm', 'a', 't', 'i']
فِيمَا                ['f', 'i:', 'm', 'a:']
كَانُواۡ               ['k', 'a:', 'n', 'u:']
فِيهِ                 ['f', 'i:', 'h', 'i']
يَخۡتَلِفُونَ             ['j', 'a', 'x', 't', 'a', 'l', 'i', 'f', 'u:', 'n']

114
وَمَنۡ                 ['w', 'a', 'm', 'a', 'n']
أَظۡلَمُ                ['ʔ', 'a', 'ðˤ', 'l', 'a', 'm', 'u']
مِمَّن                 ['m', 'i', 'm̰', 'a']
مَّنَعَ                 ['m̰', 'a', 'n', 'a', 'ʕ', 'a']
مَسَـٰجِدَ               ['m', 'a', 's', 'a:', 'ʒ', 'i', 'd', 'a']
ٱللَّهِ                ['l', 'l', 'l', 'a', 'h', 'i']
أَن                  ['ʔ', 'a']
يُذۡكَرَ                ['j̰', 'u', 'ð', 'k', 'a', 'r', 'a']
فِيهَا                ['f', 'i:', 'h', 'a:']
ٱسۡمُهُۥ               ['s', 'm', 'u', 'h', 'u:']
وَسَعَىٰ                ['w', 'a', 's', 'a', 'ʕ', 'a:']
فِى                  ['f', 'i:']
خَرَابِهَآ‌ۚ             ['x', 'a', 'r', 'a:', 'b', 'i', 'h', 'a:']
أُوۡلَـٰٓئِكَ              ['ʔ', 'u', 'l', 'a:', 'ʔ', 'i', 'k', 'a']
مَا                  ['m', 'a:']
كَانَ                 ['k', 'a:', 'n', 'a']
لَهُمۡ                 ['l', 'a', 'h', 'u', 'm']
أَن                  ['ʔ', 'a']
يَدۡخُلُوهَآ             ['j̰', 'a', 'd', 'Q', 'x', 'u', 'l', 'u:', 'h', 'a:']
إِلَّا                 ['ʔ', 'i', 'l', 'l', 'a:']
خَآئِفِينَ‌ۚ             ['x', 'a:', 'ʔ', 'i', 'f', 'i:', 'n', 'a']
لَهُمۡ                 ['l', 'a', 'h', 'u', 'm']
فِى                  ['f', 'i:']
ٱلدُّنۡيَا              ['d', 'd', 'u', 'n', 'j', 'a:']
خِزۡىٌ                 ['x', 'i', 'z', 'j', 'u']
وَلَهُمۡ                ['w̰', 'a', 'l', 'a', 'h', 'u', 'm']
فِى                  ['f', 'i:']
ٱلۡأَخِرَةِ              ['l', 'ʔ', 'a', 'x', 'i', 'r', 'a', 't', 'i']
عَذَابٌ                ['ʕ', 'a', 'ð', 'a:', 'b', 'un']
عَظِيمٌ                ['ʕ', 'a', 'ðˤ', 'i:', 'm']

115
وَلِلَّهِ                ['w', 'a', 'l', 'i', 'l', 'l', 'a', 'h', 'i']
ٱلۡمَشۡرِقُ              ['l', 'm', 'a', 'ʃ', 'r', 'i', 'q', 'u']
وَٱلۡمَغۡرِبُ‌ۚ            ['w', 'a', 'l', 'm', 'a', 'ɣ', 'r', 'i', 'b', 'u']
فَأَيۡنَمَا              ['f', 'a', 'ʔ', 'a', 'j', 'n', 'a', 'm', 'a:']
تُوَلُّواۡ               ['t', 'u', 'w', 'a', 'l', 'l', 'u:']
فَثَمَّ                 ['f', 'a', 'θ', 'a', 'm̰', 'a']
وَجۡهُ                 ['w', 'a', 'ʒ', 'Q', 'h', 'u']
ٱللَّهِ‌ۚ               ['l', 'l', 'l', 'a', 'h', 'i']
